code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume,occupiable_volume_pct,specific_accessible_area,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections
SAV,719.22,1501.79,727.9,1519.91,586.48,17.85,587.18,17.88,2189.5,2215.92,9.5,4.7,8.82,3.75,3.75,4.1,14.6,18.653,18.653,9.441,90.0,90.0,90.0,690.0,0.587302,3,144.0,84.0,7.0,19.0,16.0,55.0
SBE,1755.36,1374.51,1755.36,1374.51,2461.28,26.41,2461.28,26.41,1883.28,1883.28,13.2,7.9,12.54,7.27,7.27,3.88,13.7,18.534,18.534,27.134,90.0,90.0,90.0,619.0,0.514323,2,384.0,292.0,6.0,118.0,48.0,216.0
SBN,142.19,1425.1,142.19,1425.1,55.08,8.89,55.08,8.89,2295.65,2295.65,5.7,3.4,5.06,3.8,3.8,2.65,16.1,7.187,7.187,13.846,90.0,90.0,120.0,813.0,,3,30.0,30.0,2.0,24.0,10.0,115.0
SBS,1232.78,1287.08,1278.04,1334.33,1905.18,27.23,1913.2,27.34,1761.83,1826.51,12.1,6.6,11.45,7.27,7.27,5.72,13.7,17.193,17.193,27.333,90.0,90.0,120.0,617.0,0.534092,3,288.0,200.0,10.0,99.0,38.0,277.0
SBT,1860.44,1294.92,1928.09,1342.01,2861.35,27.25,2873.46,27.36,1771.66,1836.08,11.8,6.7,11.17,7.34,7.34,5.71,13.7,17.191,17.191,41.03,90.0,90.0,120.0,617.0,0.522344,3,432.0,300.0,12.0,132.0,59.0,369.0
SEW,666.69,1012.44,673.04,1022.08,671.91,16.6,672.13,16.6,1646.94,1662.63,,,7.35,5.29,5.97,1.92,17.0,23.72894,11.29319,14.47187,90.0,90.0,90.0,836.0,,2,,,,,,
SFE,106.74,764.15,106.74,764.15,100.33,12.61,100.33,12.61,1341.21,1341.21,6.5,6.5,6.66,1.6,6.29,1.6,16.9,11.457,5.255,13.994,90.0,100.96,90.0,892.0,0.767358,1,42.0,16.0,2.0,26.0,24.0,50.0
SFF,280.61,878.91,280.61,878.91,250.91,13.99,250.91,13.99,1564.9,1564.9,8.2,5.9,7.59,1.63,1.37,5.34,17.8,11.454,21.695,7.227,90.0,93.154,90.0,880.0,0.765073,1,96.0,16.0,6.0,8.0,12.0,24.0
SFG,548.73,743.21,557.84,755.56,466.63,11.12,467.11,11.13,1308.04,1329.77,7.6,5.6,6.96,4.98,2.62,5.38,17.6,25.532,12.575,13.066,90.0,90.0,90.0,932.0,0.850442,2,222.0,102.0,12.0,103.0,86.0,202.0
SFH,472.86,740.54,482.1,755.0,544.79,14.88,545.47,14.9,1291.52,1316.74,7.6,7.6,7.63,6.79,1.5,1.78,16.5,5.255,34.319,21.518,90.0,90.0,90.0,835.0,0.724192,1,192.0,102.0,26.0,54.0,81.0,111.0
SFN,275.69,863.51,288.97,905.1,303.32,15.69,305.32,15.79,1426.17,1494.86,7.3,7.3,7.94,1.65,6.7,2.42,16.6,25.221,5.256,15.022,90.0,103.89,90.0,819.0,0.692828,1,96.0,46.0,2.0,40.0,36.0,60.0
SFO,413.58,1295.38,413.58,1295.38,412.9,19.57,412.9,19.57,1960.31,1960.31,7.6,7.6,7.92,1.64,3.64,6.95,15.2,22.585,13.568,6.971,90.0,99.016,90.0,681.0,0.575084,2,96.0,44.0,8.0,20.0,22.0,40.0
SFS,564.01,1009.45,564.01,1009.45,537.49,15.96,537.49,15.96,1674.85,1674.85,8.2,6.3,7.52,1.8,5.92,4.84,16.6,14.013,20.027,12.488,90.0,106.08,90.0,877.0,,2,168.0,32.0,14.0,46.0,52.0,97.0
SFV,6954.73,889.11,6958.3,889.56,5463.69,12.3,5463.83,12.3,1565.58,1566.38,8.3,6.0,7.67,5.3,5.3,4.84,17.6,20.1528,20.1528,109.7563,90.0,90.0,90.0,932.0,,3,2352.0,626.0,196.0,380.0,674.0,1120.0
SFW,1570.14,1457.16,1583.4,1469.46,1230.83,17.2,1231.73,17.21,2193.66,2212.17,,,7.78,3.65,3.65,3.65,15.1,13.68061,13.68061,44.16007,90.0,90.0,120.0,690.0,,3,,,,,,
SGT,0.0,0.0,546.04,855.13,0.0,0.0,436.15,11.9,0.0,1489.36,8.4,2.7,7.74,2.11,2.11,2.11,17.5,10.329,10.329,34.364,90.0,90.0,90.0,962.0,0.862901,0,192.0,32.0,12.0,22.0,24.0,65.0
SIV,942.16,1475.49,942.16,1475.49,381.1,9.74,381.1,9.74,2409.17,2409.17,6.0,4.4,5.38,3.73,3.31,3.37,16.4,9.877,14.075,28.131,90.0,90.0,90.0,741.0,0.636,3,192.0,48.0,12.0,60.0,36.0,181.0
SOD,0.0,0.0,133.25,1112.98,0.0,0.0,73.92,10.26,0.0,1849.38,7.0,3.2,6.32,2.53,2.53,2.53,16.7,8.965,8.965,8.965,90.0,90.0,90.0,791.0,0.666667,0,36.0,48.0,2.0,32.0,10.0,64.0
SOF,550.91,1380.42,550.91,1380.42,306.08,12.57,306.08,12.57,2261.77,2261.77,4.8,4.7,5.14,4.17,4.17,4.42,16.4,20.332,12.085,10.275,90.0,105.254,90.0,817.0,,3,120.0,40.0,4.0,24.0,24.0,24.0
SOS,314.23,1312.27,314.23,1312.27,132.45,9.36,132.45,9.36,2221.55,2221.55,5.5,4.2,4.82,2.92,4.27,2.92,17.0,20.437,7.116,9.726,90.0,90.0,90.0,728.0,0.631746,3,72.0,44.0,2.0,16.0,16.0,32.0
SSF,438.06,813.07,472.6,877.18,512.99,15.63,520.01,15.85,1335.05,1440.33,6.8,6.8,7.66,6.22,6.22,2.61,16.5,17.21,17.21,12.792,90.0,90.0,120.0,821.0,,2,162.0,115.0,8.0,50.0,79.0,137.0
SSO,777.89,974.58,784.72,983.13,629.24,13.11,629.67,13.12,1620.64,1634.86,,,6.79,1.65,4.89,1.58,16.7,19.90203,10.15609,24.68916,90.0,105.88,90.0,768.0,,1,,,,,,
SSY,200.55,717.9,200.55,717.9,186.95,12.17,186.95,12.17,1305.56,1305.56,6.6,6.6,7.1,1.67,1.57,5.75,16.9,5.258,22.579,13.977,90.0,90.0,90.0,900.0,0.784646,1,84.0,24.0,12.0,42.0,52.0,81.0
STF,313.57,982.13,313.57,982.15,291.82,15.39,291.82,15.39,1653.63,1653.66,8.3,6.0,7.63,1.57,1.26,5.44,16.9,14.104,18.205,7.477,90.0,98.989,90.0,877.0,0.748986,1,96.0,18.0,6.0,3.0,8.0,10.0
STI,827.65,1152.13,827.65,1152.13,572.35,13.27,572.35,13.27,1919.14,1919.14,6.9,5.4,6.29,4.94,2.96,1.85,16.7,13.502,17.802,17.942,90.0,90.0,90.0,852.0,0.720342,2,216.0,76.0,16.0,47.0,38.0,122.0
STO,620.07,554.9,632.17,565.72,594.98,9.94,595.76,9.95,1035.44,1055.64,6.7,6.7,6.8,1.72,6.09,2.07,18.7,29.886,8.39,24.731,90.0,105.048,90.0,924.0,,1,336.0,226.0,37.0,38.0,76.0,71.0
STT,653.81,1023.92,653.86,1023.99,524.36,13.9,524.36,13.9,1732.87,1733.0,7.7,4.4,7.04,2.76,1.89,2.76,17.0,13.05,21.853,13.573,90.0,102.905,90.0,859.0,0.760705,2,192.0,28.0,12.0,40.0,36.0,92.0
STW,791.55,1322.26,791.55,1322.26,509.81,13.93,509.81,13.93,2162.28,2162.28,6.1,4.1,5.43,3.38,3.38,4.88,16.4,11.887,11.887,29.915,90.0,90.0,120.0,812.0,,3,180.0,42.0,7.0,36.0,25.0,104.0
SVR,844.78,920.34,845.21,920.81,575.18,10.75,575.19,10.75,1579.36,1580.17,5.7,4.5,5.85,4.65,4.65,4.65,17.2,20.408,13.304,20.166,90.0,102.333,90.0,874.0,,3,284.0,56.0,20.0,57.0,70.0,92.0
SVV,0.0,0.0,474.08,848.51,0.0,0.0,266.89,8.61,0.0,1529.83,,,6.41,1.94,1.62,1.94,18.0,13.1231,13.3734,21.26198,90.0,123.642,90.0,852.0,,0,,,,,,
SZR,329.14,916.37,338.17,941.52,190.51,9.33,191.32,9.37,1611.93,1656.17,6.9,5.3,6.27,3.32,3.32,4.69,17.6,18.87,14.401,7.514,90.0,90.0,90.0,910.0,0.78,3,108.0,60.0,6.0,28.0,26.0,48.0
TER,805.69,1009.41,805.69,1009.41,599.57,12.77,599.57,12.77,1716.4,1716.4,7.6,5.1,6.94,5.16,1.94,4.74,17.0,9.807,23.646,20.242,90.0,90.0,90.0,872.0,0.739316,2,240.0,108.0,8.0,100.0,64.0,200.0
THO,154.86,1552.17,154.86,1552.17,63.17,9.94,63.17,9.94,2437.88,2437.88,5.8,4.1,5.15,3.26,3.0,3.69,15.7,14.0,7.0,6.482,90.0,90.0,90.0,784.0,0.666667,3,30.0,25.0,2.0,16.0,10.0,48.0
TOL,0.0,0.0,600.7,836.21,0.0,0.0,324.4,8.05,0.0,1490.32,7.0,2.6,6.37,2.36,2.36,2.06,17.9,12.279,12.279,30.869,90.0,90.0,120.0,816.0,0.693,0,216.0,192.0,10.0,67.0,41.0,142.0
TON,168.43,703.41,168.95,705.56,106.33,8.04,106.34,8.04,1273.38,1277.27,5.7,5.7,5.71,2.31,1.56,5.11,18.1,14.105,17.842,5.256,90.0,90.0,90.0,1006.0,0.867111,1,72.0,29.0,0.0,52.0,30.0,68.0
TSC,4999.04,1304.81,5361.33,1399.37,8092.22,27.85,8261.2,28.43,1720.64,1845.34,17.1,4.7,16.45,4.08,4.08,4.08,13.2,30.742,30.742,30.742,90.0,90.0,90.0,590.0,0.482539,3,1152.0,680.0,48.0,776.0,200.0,1552.0
TUN,1689.79,882.11,1702.38,888.68,1409.76,12.93,1410.6,12.94,1549.67,1561.22,9.1,6.0,8.46,4.9,5.39,4.9,17.6,27.845,20.015,19.596,90.0,93.2,90.0,929.0,0.803,3,576.0,176.0,30.0,86.0,148.0,253.0
UEI,487.96,1018.9,487.96,1018.9,179.51,6.53,179.51,6.53,1775.02,1775.02,6.2,4.4,5.6,1.9,3.77,3.15,17.5,19.46,9.351,15.107,90.0,90.0,90.0,832.0,0.708844,2,144.0,76.0,4.0,36.0,32.0,72.0
UFI,819.76,1283.79,819.76,1283.79,831.13,19.74,831.13,19.74,1947.19,1947.19,10.7,4.5,10.09,3.89,3.89,1.88,15.2,12.125,12.125,28.636,90.0,90.0,90.0,747.0,0.641317,2,192.0,147.0,16.0,112.0,40.0,240.0
UOS,232.54,971.13,232.54,971.13,122.87,9.02,122.87,9.02,1707.29,1707.29,6.5,4.2,5.85,2.6,4.24,3.05,17.6,19.905,7.546,9.068,90.0,90.0,90.0,873.0,,3,72.0,49.0,6.0,16.0,20.0,40.0
UOV,1906.56,1085.75,1907.27,1086.15,1857.38,17.13,1857.39,17.13,1758.74,1759.39,,,6.98,6.44,5.38,5.03,16.2,12.71775,21.98932,38.76387,90.0,90.0,90.0,811.0,,3,,,,,,
UOZ,0.0,0.0,284.61,713.15,0.0,0.0,133.06,6.5,0.0,1390.31,6.1,,5.43,1.49,1.49,1.32,19.5,8.621,8.621,27.544,90.0,90.0,90.0,776.0,0.658436,0,120.0,198.0,8.0,0.0,8.0,0.0
USI,499.74,1252.2,499.74,1252.2,439.22,17.47,439.22,17.47,1987.4,1987.4,7.4,5.6,6.76,1.73,4.04,6.28,15.9,21.119,12.971,9.672,90.0,108.367,90.0,691.0,0.590377,2,120.0,88.0,6.0,18.0,18.0,52.0
UTL,813.16,1072.38,813.16,1072.38,1066.23,21.88,1066.23,21.88,1668.94,1668.94,8.2,8.2,9.3,1.38,5.77,7.61,15.6,28.996,13.968,12.449,90.0,104.91,90.0,826.0,0.713707,2,228.0,60.0,18.0,12.0,28.0,12.0
UWY,638.21,1066.12,638.21,1066.12,595.45,16.18,595.45,16.18,1734.25,1734.25,9.4,6.6,8.78,4.96,5.45,6.11,16.3,25.11,12.733,11.51,90.0,90.0,90.0,838.0,,3,180.0,124.0,25.0,18.0,39.0,32.0
VET,82.14,484.28,82.14,484.28,65.91,7.82,65.91,7.82,975.07,975.07,6.6,6.6,6.39,1.51,1.51,5.98,20.2,13.048,13.048,4.948,90.0,90.0,90.0,1023.0,0.913737,1,51.0,26.0,4.0,8.0,12.0,8.0
VFI,334.89,932.37,362.18,1008.34,631.71,25.4,635.4,25.55,1346.75,1456.48,12.0,12.0,12.03,2.4,2.4,11.39,14.5,18.284,18.284,8.589,90.0,90.0,120.0,669.0,0.5625,1,108.0,84.0,0.0,114.0,276.0,1647.0
VNI,549.39,917.74,607.86,1015.41,159.06,4.66,173.49,5.08,1608.54,1779.72,5.4,3.2,4.8,3.16,3.16,2.53,17.6,10.002,10.002,34.141,90.0,90.0,90.0,971.0,0.896603,3,180.0,104.0,12.0,73.0,56.0,211.0
VSV,484.98,1350.25,484.98,1350.25,137.88,6.43,137.88,6.43,2263.46,2263.46,5.0,3.4,4.31,3.77,3.77,2.9,16.8,7.156,7.156,41.842,90.0,90.0,90.0,948.0,0.818,3,108.0,56.0,4.0,70.0,35.0,249.0
WEI,314.8,1577.6,314.8,1577.6,94.8,7.82,94.8,7.82,2597.85,2597.85,3.9,3.9,4.19,3.43,3.43,3.46,16.5,11.803,10.278,9.989,90.0,90.0,90.0,773.0,0.655864,3,60.0,28.0,0.0,20.0,12.0,20.0
WEN,243.78,1221.69,247.49,1240.3,139.93,11.58,140.28,11.61,2017.79,2048.51,6.2,3.1,5.53,4.84,4.84,3.16,16.6,13.587,13.587,7.557,90.0,90.0,120.0,755.0,0.640693,3,59.0,43.0,3.0,10.0,14.0,25.0
YUG,161.01,1008.61,161.01,1008.61,50.85,5.7,50.85,5.7,1806.39,1806.39,5.1,3.7,4.49,3.08,1.44,3.12,18.0,10.248,13.788,6.782,90.0,111.545,90.0,935.0,0.797884,2,48.0,11.0,2.0,14.0,11.0,40.0
ZON,291.05,911.59,291.05,911.59,143.03,8.07,143.03,8.07,1641.47,1641.47,6.5,4.0,5.83,2.63,3.52,1.58,18.0,6.918,14.87,17.236,90.0,90.0,90.0,798.0,0.679089,2,96.0,32.0,8.0,24.0,16.0,61.0
