code,accessible_area,accessible_area_m2pg,occupiable_area,occupiable_area_m2pg,accessible_volume,accessible_volume_pct,occupiable_volume_pct,specific_occupiable_area,lcd,pld,maxdsi,maxdsd_a,maxdsd_b,maxdsd_c,framework_density,a,b,c,alpha,beta,gamma,td10,topological_density,channel_dim,atoms,portals,cages,channels,junctions,connections,vol_accessibility_ratio,area_vol_ratio,pore_anisotropy,confinement_ratio,connections_per_atom,ab_ratio,bc_ratio,CO2_capacity_mmol_g,CO2_N2_selectivity,desorption_energy_kJ_mol,data_source
AVL,561.11,1339.03,569.05,1357.97,381.11,14.36,14.4,2144.74,6.9,4.7,7.14,3.55,3.55,2.48,15.8,13.2381,13.2381,17.482,90.0,90.0,120.0,710.0,0.6981845,2.0,108.0,59.0,6.0,31.0,29.0,72.0,0.9972222222222221,93.24721448467967,0.1934545265238725,0.7083333333333334,0.6477272727272727,1.0,0.7572417343553369,1.2555757501281026,40.11291751607827,30.779333238426478,estimated
AWO,395.18,825.18,395.18,825.18,140.82,5.35,5.35,1500.99,5.8,4.3,5.16,3.67,3.04,1.89,18.2,9.101,15.035,19.241,90.0,90.0,90.0,828.0,0.708843,1.0,144.0,60.0,8.0,43.0,39.0,102.0,1.0,154.2392523364486,0.3148501407672504,0.7413793103448276,0.7083333333333334,0.6053209178583306,0.7814042929161686,0.5317707881947364,15.728246950686064,26.44419988811928,estimated
AWW,227.83,951.46,234.47,979.19,170.64,12.04,12.07,1653.81,8.1,4.8,7.48,1.86,1.86,4.17,16.9,13.634,13.634,7.627,90.0,90.0,90.0,772.0,0.656085,1.0,72.0,40.0,4.0,6.0,8.0,18.0,0.9975144987572493,79.0249169435216,0.5071023276912682,0.5925925925925926,0.25,1.0,1.7875966959486038,1.3,45.0,33.0,literature
BCT,31.21,391.02,38.09,477.19,1.89,0.45,0.88,904.44,4.4,3.2,3.8,2.55,2.55,2.91,19.0,8.952,8.952,5.255,90.0,90.0,90.0,959.0,0.814815,1.0,24.0,34.0,2.0,8.0,6.0,12.0,0.5113636363636364,868.9333333333333,0.07784498011545524,0.7272727272727273,0.5,1.0,1.7035204567078972,0.30792570965583427,14.161997415541723,25.467516107911578,estimated
BEA,779.31,1220.45,779.37,1220.55,857.32,20.52,20.52,1865.23,6.9,6.7,6.68,5.95,5.95,5.95,15.3,12.632,12.632,26.186,90.0,90.0,90.0,805.0,0.704545,3.0,192.0,56.0,12.0,36.0,78.0,138.0,1.0,59.47612085769981,0.0,0.9710144927536232,0.71875,1.0,0.48239517299320245,1.2,20.0,28.0,literature
BEC,394.4,1235.31,398.12,1246.96,448.15,21.18,21.18,1881.3,7.2,7.2,6.95,6.09,6.09,6.09,15.1,12.77,12.77,12.977,90.0,90.0,90.0,764.0,0.65664,3.0,96.0,62.0,6.0,10.0,14.0,10.0,1.0,58.32436260623229,0.0,1.0,0.10416666666666667,1.0,0.9840487015488941,1.3835148744946784,32.122921868567275,29.557054832071536,estimated
BIK,88.13,736.06,88.13,736.08,25.49,3.96,3.96,1370.84,4.8,3.6,4.17,2.55,1.56,3.55,18.7,7.54,16.222,5.256,90.0,90.0,90.0,1052.0,0.907407,1.0,36.0,12.0,2.0,25.0,13.0,61.0,1.0,185.87373737373736,0.389688324123712,0.75,1.6944444444444444,0.4648008876833929,3.086377473363775,0.5,20.0,28.0,literature
BOF,202.04,843.74,202.04,843.74,118.96,9.06,9.06,1538.13,6.2,4.3,5.58,4.67,1.77,1.77,18.3,7.503,12.773,13.706,90.0,90.0,90.0,880.0,0.6981845,1.0,72.0,20.0,2.0,20.0,10.0,58.0,1.0,93.1280353200883,0.6118084460352917,0.6935483870967741,0.8055555555555556,0.5874109449620293,0.9319276229388589,0.8224495327141177,19.29487772420028,27.781391776646704,estimated
BOG,1058.29,1104.9,1058.29,1104.9,1083.77,18.13,18.13,1770.05,7.4,7.4,8.05,6.88,4.92,4.92,16.1,20.014,23.58,12.669,90.0,90.0,90.0,781.0,0.659922,2.0,288.0,108.0,0.0,103.0,127.0,269.0,1.0,60.94318808604524,0.2030394487341507,1.0,0.9340277777777778,0.8487701441899915,1.861236088089036,0.8,14.0,25.0,literature
BOZ,1914.74,2085.99,1914.74,2085.99,1583.94,22.27,22.27,2692.23,9.3,5.4,8.71,4.92,3.68,4.92,12.9,14.1488,35.7082,14.077,90.0,90.0,90.0,748.0,0.6981845,3.0,276.0,44.0,12.0,192.0,56.0,528.0,1.0,93.66816344858553,0.15885673087170174,0.5806451612903226,1.9130434782608696,0.39623391825967147,2.5366342260424806,1.3610919271134647,38.73533204324428,31.089239408080452,estimated
BPH,395.94,1417.31,395.94,1417.31,414.63,21.65,21.65,2067.81,10.1,6.7,9.51,3.51,3.51,6.01,14.6,13.057,13.057,12.969,90.0,90.0,120.0,667.0,0.56875,3.0,84.0,24.0,6.0,21.0,11.0,42.0,1.0,65.4646651270208,0.33231980191267796,0.6633663366336634,0.5,1.0,1.006785411365564,1.6,45.0,33.0,literature
