iter	RMSE
0	3.942713915
1	3.864506116
2	3.788891404
3	3.706242958
4	3.624783744
5	3.550578678
6	3.478314671
7	3.403183378
8	3.343037073
9	3.2796276
10	3.217405331
11	3.163067308
12	3.113546633
13	3.055162049
14	2.990986656
15	2.927811364
16	2.880563363
17	2.821253311
18	2.771424457
19	2.725015502
20	2.672953855
21	2.633285272
22	2.596492112
23	2.544356645
24	2.500227815
25	2.465384493
26	2.432348057
27	2.388019135
28	2.346879336
29	2.312677518
30	2.271622035
31	2.234374006
32	2.19822333
33	2.162834611
34	2.134288947
35	2.110838752
36	2.082982142
37	2.056654071
38	2.034543718
39	2.005486393
40	1.981868383
41	1.956549615
42	1.937207012
43	1.912203029
44	1.891315899
45	1.867497799
46	1.85077862
47	1.833327963
48	1.807445024
49	1.787352074
50	1.762476067
51	1.741085815
52	1.719265279
53	1.701959726
54	1.682223592
55	1.66788901
56	1.64800572
57	1.630174215
58	1.616567765
59	1.601909097
60	1.587380933
61	1.576102775
62	1.561601024
63	1.548563968
64	1.535564264
65	1.520314301
66	1.507487414
67	1.494432918
68	1.484201652
69	1.464217482
70	1.448276931
71	1.439058427
72	1.426415471
73	1.413625922
74	1.405125731
75	1.394272368
76	1.384573917
77	1.377060969
78	1.3633653
79	1.351190799
80	1.339664845
81	1.330789384
82	1.321745538
83	1.313359213
84	1.306244874
85	1.294145812
86	1.288731286
87	1.278601367
88	1.26955638
89	1.256533362
90	1.248783375
91	1.240416553
92	1.230767133
93	1.225067506
94	1.222151467
95	1.212172365
96	1.203721697
97	1.195473895
98	1.185855353
99	1.177049785
100	1.167675732
101	1.157032273
102	1.14799203
103	1.140101724
104	1.131902099
105	1.121912536
106	1.112967302
107	1.10552139
108	1.096165991
109	1.088080615
110	1.079827182
111	1.071633811
112	1.061764424
113	1.052756219
114	1.047222309
115	1.039323547
116	1.032235168
117	1.022324196
118	1.015475679
119	1.008439106
120	1.000896514
121	0.9927739127
122	0.9856901495
123	0.9822603604
124	0.9789557051
125	0.9685439
126	0.963233922
127	0.958162215
128	0.9502644634
129	0.9443620109
130	0.9381655525
131	0.9295570815
132	0.9240646015
133	0.91546464
134	0.9091687508
135	0.9052476026
136	0.8986808592
137	0.8943403399
138	0.8914179878
139	0.8860787025
140	0.883185961
141	0.8767381407
142	0.870012099
143	0.860154596
144	0.8556514238
145	0.8489898727
146	0.8457642203
147	0.8412489986
148	0.8327352396
149	0.8303982099
150	0.8246987582
151	0.8193954496
152	0.8124305379
153	0.806352364
154	0.801046389
155	0.7944005217
156	0.7861694927
157	0.7827938652
158	0.7748852413
159	0.7699013928
160	0.762934569
161	0.7593707831
162	0.7536064615
163	0.7520114181
164	0.7472218584
165	0.742199757
166	0.7371297499
167	0.7302909726
168	0.725249798
169	0.7227597885
170	0.7211557452
171	0.7186013499
172	0.7160421376
173	0.7151017236
174	0.7083114385
175	0.7042898496
176	0.7000418917
177	0.693452962
178	0.692496708
179	0.6895228945
180	0.6841194902
181	0.6771500189
182	0.6753720053
183	0.6741596377
184	0.668588864
185	0.6656934398
186	0.6642225231
187	0.6595912678
188	0.6577916016
189	0.6557913355
190	0.649255454
191	0.6442883075
192	0.6433465076
193	0.6416051431
194	0.6360259134
195	0.633824773
196	0.6300009988
197	0.6258113386
198	0.6238556361
199	0.6185084995
200	0.6168412532
201	0.6139661541
202	0.6096777231
203	0.6045328305
204	0.6027445457
205	0.5992391027
206	0.5949287779
207	0.59347133
208	0.5879745102
209	0.5862499293
210	0.5849516568
211	0.5795262469
212	0.5751964652
213	0.5694086401
214	0.5656569879
215	0.5605989087
216	0.5570855669
217	0.5528364924
218	0.5494255969
219	0.5469492157
220	0.54490308
221	0.5433589474
222	0.5405110964
223	0.5387439639
224	0.5347827384
225	0.5311399821
226	0.5297828766
227	0.5289618085
228	0.5277824997
229	0.5231444848
230	0.5186654968
231	0.5140731902
232	0.5095224583
233	0.5055256702
234	0.5047554066
235	0.5006713539
236	0.500048954
237	0.4992144516
238	0.498203794
239	0.4970286132
240	0.4962957303
241	0.493831406
242	0.4897438272
243	0.4884989693
244	0.4876032067
245	0.4865434398
246	0.4824754129
247	0.4775530726
248	0.4736864728
249	0.4731090935
250	0.4722323915
251	0.4685827233
252	0.4673082246
253	0.4661413362
254	0.4622730293
255	0.4582360289
256	0.4559311293
257	0.455272769
258	0.4509216782
259	0.4500813961
260	0.4489371969
261	0.4451281114
262	0.4443915785
263	0.4413158981
264	0.4406081739
265	0.4371220867
266	0.4366663189
267	0.4362371685
268	0.4338763658
269	0.4293256688
270	0.4257905607
271	0.4238403231
272	0.4231309775
273	0.4206887281
274	0.420232887
275	0.419473496
276	0.4155433469
277	0.4119533944
278	0.4088899394
279	0.4082118813
280	0.4047522171
281	0.4018038801
282	0.3994909712
283	0.3984370121
284	0.3978336998
285	0.3945161819
286	0.3935162004
287	0.3901346654
288	0.3859022561
289	0.3852380041
290	0.3846205976
291	0.3841914769
292	0.3814718244
293	0.3782169255
294	0.3746027211
295	0.3726876298
296	0.3704503413
297	0.3686072744
298	0.3681072089
299	0.3662642149
